username,text,label,binary_label,tokenized_comment
__after.you,Ohh ini ya si perebut itu ? Ohhww ini...,['Denigration'],Yes,"['oh', 'ini', 'iya', 'sih', 'rebut', 'itu', 'oh', 'ini']"
yuram.ns9889,BELUM CENTANG BIRU UDH SONGONG,['Flaming'],Yes,"['belum', 'centang', 'biru', 'sudah', 'sombong']"
tikameydita,Gua juga ga SUDI dengerin Lagu lu🖕🏻🖕🏻🖕🏻,['Harassment'],Yes,"['aku', 'juga', 'tidak', 'sudi', 'dengar', 'lagu', 'kamu']"
animekartun3345,Padahal banyak duit ka bisa lebih langsing cantik babget kyknya. Bisa segala cara untuk langsing biasanya artiss,['Body Shaming'],Yes,"['padahal', 'banyak', 'uang', 'kak', 'bisa', 'lebih', 'kurus', 'cantik', 'sangat', 'seperti', 'bisa', 'segala', 'cara', 'untuk', 'kurus', 'biasa', 'artis']"
putrakusuma_10,Lagu apaan jelek begitu cuihhhh ga sudi,"['Flaming', 'Harassment']",Yes,"['lagu', 'apa', 'jelek', 'begitu', 'cuihh', 'tidak', 'sudi']"
ragstrgna,Cakepan pas masih gemoy ka lebh fress keliatan awet muda juga,['Body Shaming'],Yes,"['cakep', 'pas', 'masih', 'lucu', 'kak', 'lebih', 'fresh', 'lihat', 'awet', 'muda', 'juga']"
therealindasyarifah,"Semoga langgeng yaa hubungan nya sama Rizky Nazar. Semoga kmu di nikahin sm Rizky. Jangan sampe doi bosen trs di selingkuhin lg dehh kamu.  Oh atau sebaliknya, kamu yg nyelingkuhin Rizky nanti @rizkynazar20 hati² aja karma pasti berlaku","['Denigration', 'Harassment']",Yes,"['moga', 'langgeng', 'iya', 'hubung', 'nya', 'sama', 'rizky', 'nazar', 'moga', 'kamu', 'di', 'nikah', 'sama', 'rizky', 'jangan', 'sampai', 'doi', 'bosan', 'terus', 'di', 'selingkuhin', 'lagi', 'deh', 'salut', 'oh', 'atau', 'balik', 'salut', 'yang', 'selingkuh', 'dari', 'rizky', 'nanti', 'hati', 'saja', 'karma', 'pasti', 'laku']"
booputte,Pencucian uang gak sih😂,['Denigration'],Yes,"['cuci', 'uang', 'tidak', 'sih']"
eksannisa,Astapiloh nya kaga make kolor?😂,['Harassment'],Yes,"['astaghfirullah', 'nya', 'kagak', 'pakai', 'kolor']"
lisnan15,mau mau an ama riski nazar,['Denigration'],Yes,"['mau', 'mau', 'an', 'sama', 'rizky', 'nazar']"
monalilie,"Gausa sok cantik de dos, lo gd apa2 nya sm syifa hadju yg jelas lebih wow",['Body Shaming'],Yes,"['tidak', 'usah', 'sok', 'cantik', 'dek', 'dos', 'kamu', 'gd', 'apa', 'nya', 'sama', 'syifa', 'hadju', 'yang', 'jelas', 'lebih', 'wow']"
shafiraa_066,"Gayamuuu bro 😂 ndangak mu keduwureennn, ndingkluk o! Berharap entuk atensi publik dengan sikon ngene? Lawak! 😂","['Denigration', 'Flaming']",Yes,"['gayamuu', 'bro', 'lihat', 'atas', 'mu', 'keduwureenn', 'tunduk', 'o', 'harap', 'dapat', 'atensi', 'publik', 'dengan', 'sikon', 'begini', 'komedi']"
septianardhiansyah,Nyapoto lambene mbukak titik i,['Body Shaming'],Yes,"['mengapa', 'mulut', 'buka', 'titik', 'i']"
daraaisyahp,Lagi mencoba mendekat kn diri orang2 besar..Ayo bagi2 dong uang ny.,['Denigration'],Yes,"['lagi', 'coba', 'dekat', 'kan', 'diri', 'orang', 'besar', 'untuk', 'dong', 'uang', 'nya']"
yeshuaps29,"Lumayan juga marketingnya, literally menghujat untuk didenger ya bang 😂 orang2 jadi penasaran lu siapa dan lagu lu apa 😂😂😂",['Denigration'],Yes,"['lumayan', 'juga', 'pasar', 'cara', 'harfiah', 'hujat', 'untuk', 'dengar', 'iya', 'bang', 'orang', 'jadi', 'penasaran', 'kamu', 'siapa', 'dan', 'lagu', 'kamu', 'apa']"
erniblora95,"Gw tau lu dr ketengilan lu ke kaesang pas,gw dgr lagunya trnyta jlek bngt sumpah",['Harassment'],Yes,"['aku', 'tahu', 'kamu', 'dari', 'tengil', 'kamu', 'ke', 'kaesang', 'pas', 'saya', 'dengar', 'lagu', 'nyata', 'jelek', 'sangat', 'sumpah']"
ukeekk_,Hapus kata gue mah bang lagu lu di semua sosmed atau aplikasi yg bs nyetel musik.kalo gak sudi di pake sama org😂,['Harassment'],Yes,"['hapus', 'kata', 'aku', 'mah', 'bang', 'lagu', 'kamu', 'di', 'semua', 'media', 'sosial', 'atau', 'aplikasi', 'yang', 'bisa', 'nyetel', 'musik', 'kalau', 'tidak', 'sudi', 'di', 'pakai', 'sama', 'orang']"
niisayulia16,Pelan pelan dong @rizkynazar20  nglike hahaha ga bisa bngt siii maen selingkuhan nya🤣🤣🤣,['Denigration'],Yes,"['pelan', 'pelan', 'dong', 'suka', 'hahaha', 'tidak', 'bisa', 'sangat', 'sih', 'main', 'selingkuh', 'nya']"
kebenaran._,Cocok dehh kalian🔥 akhirnya Cipaa dapat yg lebih dan bebas dari cowo yg lu rebut🤣🔥🤭,['Denigration'],Yes,"['cocok', 'deh', 'kalian', 'akhir', 'syifa', 'dapat', 'yang', 'lebih', 'dan', 'bebas', 'dari', 'cowok', 'yang', 'kamu', 'rebut']"
johanaffandiputra,Baru 1 laguuu yg tenarrrrr itu jugaaa karnaaa di pake sama mbak Erina mas kaesangggg😂😂😂😂klo tdk juga LOL 😭😭😭😭😭😭😭😭😭😭SOMBONGNYAAAA MINTAAAA AMPUNNNNNN🤣🤣🤣🤣🤣🤣,['Flaming'],Yes,"['baru', 'lagu', 'yang', 'tenarr', 'itu', 'juga', 'karnaa', 'di', 'pakai', 'sama', 'kak', 'erina', 'mas', 'kaesangg', 'kalo', 'tidak', 'juga', 'lol', 'sombongnyaa', 'mintaa', 'ampun']"
alexander_sptr,LAPORKAN - UJARAN KEBENCIAN. SELESAI KAWAN KAWAN🙏,['Harassment'],Yes,"['lapor', 'ujar', 'benci', 'selesai', 'teman', 'teman']"
susipritama,"Mau bikin story pake lagu ini, ee penyanyi nya pilih” pendengar🤣🤣🤣",['Harassment'],Yes,"['mau', 'buat', 'cerita', 'pakai', 'lagu', 'ini', 'eek', 'nyanyi', 'nya', 'pilih', 'dengar']"
raka_adityaprabowo,Gak usah jadi seniman kalau karyamu gak boleh di nikmati!,['Harassment'],Yes,"['tidak', 'perlu', 'jadi', 'seniman', 'kalau', 'karya', 'tidak', 'boleh', 'di', 'nikmat']"
eltha_leeminho,"Badan sita kok cepet bgt ya melar, bagi rahasianya dong apalagi payuda.. nya gede bgt skrng bagi tips kak sita biar punya ku jg gede😂",['Body Shaming'],Yes,"['tubuh', 'sita', 'kok', 'cepat', 'sangat', 'iya', 'melar', 'untuk', 'rahasia', 'dong', 'apalagi', 'payudara', 'nya', 'besar', 'sangat', 'sekarang', 'untuk', 'tips', 'kak', 'sita', 'biar', 'punya', 'ku', 'juga', 'besar']"
likusuma,Lagu yg gk hits dari @ari_lasso aja lebih enak dari lagu lu bang,['Denigration'],Yes,"['lagu', 'yang', 'tidak', 'kenal', 'dari', 'saja', 'lebih', 'enak', 'dari', 'lagu', 'kamu', 'bang']"
dikha_boyz,Jirr paslon yg kata nya Cerdas skali ad berita tnpa tau bukti nya langsung di goreng biar rame. OOHHH Baru tau trnyata tingkat kcerdasan nya sgtu.😂😂😂😂😂😂,['Denigration'],Yes,"['anjir', 'pasang', 'calon', 'yang', 'kata', 'nya', 'cerdas', 'sekali', 'ada', 'berita', 'tanpa', 'tahu', 'bukti', 'nya', 'langsung', 'di', 'goreng', 'biar', 'ramai', 'oohh', 'baru', 'tahu', 'nyata', 'tingkat', 'cerdas', 'nya', 'begitu']"
glennimam123,Lu berasa cantik apa gimana sih:( pede bgt heran deh:(,['Body Shaming'],Yes,"['kamu', 'asa', 'cantik', 'apa', 'bagaimana', 'sih', 'percaya', 'diri', 'sangat', 'kagum', 'deh']"
mahendraarisetiawan,"lagu jelek gitu pun,, songong minta ampun,, 🤮",['Flaming'],Yes,"['lagu', 'jelek', 'begitu', 'bahkan', 'sombong', 'minta', 'ampun']"
anggi_idongg,jadi orang itu kayak denny caknan hampir tiap bikin lagu selalu trending 1 dan ditonton ratusan juta orang dia tetep rendah diri mo siapapun pake lagu monggo.. nah lo cuma baru trending 1 aja berasa sok paling terkenal padal gak smua orang knal lo🤣🤣🤣🤣 contohnya gue gak knal lo sama lagu lo sama skali.. tau2 pas kesang sama erina make lagu lo 🤣🤣 kesian banget berasa paling populer 🤣🤣,['Flaming'],Yes,"['jadi', 'orang', 'itu', 'seperti', 'denny', 'caknan', 'hampir', 'tiap', 'buat', 'lagu', 'selalu', 'trending', 'dan', 'tonton', 'ratus', 'juta', 'orang', 'dia', 'tetap', 'rendah', 'diri', 'mau', 'siapa', 'pakai', 'lagu', 'silah', 'nah', 'kamu', 'hanya', 'baru', 'trending', 'saja', 'asa', 'sok', 'paling', 'kenal', 'padahal', 'tidak', 'semua', 'orang', 'kenal', 'kamu', 'contoh', 'aku', 'tidak', 'kenal', 'kamu', 'sama', 'lagu', 'kamu', 'sama', 'sekali', 'tahu', 'pas', 'kaesang', 'sama', 'erina', 'pakai', 'lagu', 'kamu', 'kesi', 'sangat', 'asa', 'paling', 'populer']"
ilhamderri29,Terindikasi pencucian uang mas e. 😂😂😂,['Denigration'],Yes,"['indikasi', 'cuci', 'uang', 'mas', 'e']"
homestudio.nailart.and.eyelash,Cok jancok sombonge eram🔥,['Flaming'],Yes,"['cok', 'jancok', 'sombong', 'eram']"
cephiii_29,@bastiansteel Di seting mulu,['Harassment'],Yes,"['di', 'ting', 'mulu']"
maftr.n,"Yaallah pril diet ya kelewatan inimah, saya aja pengen punya badan kayak kamu dulu😭",['Body Shaming'],Yes,"['ya', 'allah', 'prilly', 'diet', 'iya', 'lewat', 'ini', 'mah', 'saya', 'saja', 'ingin', 'punya', 'tubuh', 'seperti', 'salut', 'dahulu']"
agus.michael46,Liat muka lu jadi g Sudi gw ..,"['Body Shaming', 'Harassment']",Yes,"['lihat', 'wajah', 'kamu', 'jadi', 'tidak', 'sudi', 'aku']"
varindokennedy,Astagaaa… beneran ini artis… tp kemakan isu ga jelas dan posting ga sudi… 🤣🤣 aslii coba lebih pakai otak kak… hahaha,"['Flaming', 'Harassment']",Yes,"['astaga', 'benar', 'ini', 'artis', 'tapi', 'makan', 'isu', 'tidak', 'jelas', 'dan', 'posting', 'tidak', 'sudi', 'asli', 'coba', 'lebih', 'pakai', 'otak', 'kak', 'hahaha']"
utaweh,Kena prank ya.. Org gak salah.. Malah ikutan hujat cari tau kebenarannya dulu ya 😂😭,['Denigration'],Yes,"['kenal', 'prank', 'iya', 'orang', 'tidak', 'salah', 'lebih', 'tepat', 'ikut', 'hujat', 'cari', 'tahu', 'benar', 'dahulu', 'iya']"
nekusa_story,gak sudi dengerin lagunya hehe 🙏,['Harassment'],Yes,"['tidak', 'sudi', 'dengar', 'lagu', 'haha']"
f.hjrw,Gak terkenal tapi belagu...rasain lu,"['Flaming', 'Harassment']",Yes,"['tidak', 'kenal', 'tapi', 'belagu', 'rasa', 'kamu']"
arcalionn,Pinggang sejengkal tangan kitaa. @elisseu_,['Body Shaming'],Yes,"['pinggang', 'jengkal', 'tangan', 'kita']"
rhesti88_,Lagu kek kontl aja sombong,['Flaming'],Yes,"['lagu', 'seperti', 'kontol', 'saja', 'sombong']"
utimervan,Bang kita itu laki pakai kopiah sama sarung bukan cadar,['Flaming'],Yes,"['bang', 'kita', 'itu', 'pria', 'pakai', 'kopyah', 'sama', 'sarung', 'tidak', 'cadar']"
iss.siska,kak prily nya cntik bangett ❤️😍 tpi kok kurus nya engak seimbang yah😭,['Body Shaming'],Yes,"['kak', 'prilly', 'nya', 'cantik', 'sangat', 'tapi', 'kok', 'kurus', 'nya', 'tidak', 'imbang', 'iya']"
setrika_wajah_pky,Lemah komentar di batasi 😂🤣,['Harassment'],Yes,"['lemah', 'komentar', 'di', 'batas']"
indah_fitrianaaa,Tinggal laporin aja akun ini🔥,['Harassment'],Yes,"['tinggal', 'lapor', 'saja', 'akun', 'ini']"
vondasinay_13,Kalo q posting di IG pake lagunya boleh ga? Soalnya udh ada di IG sih takutnya nnti mas e blg GA SUDI,['Harassment'],Yes,"['jika', 'ku', 'posting', 'di', 'instagram', 'pakai', 'lagu', 'boleh', 'tidak', 'soal', 'sudah', 'ada', 'di', 'instagram', 'sih', 'takut', 'nanti', 'mas', 'e', 'bilang', 'tidak', 'sudi']"
hsti.okta,"Selingkuh dri april salsa yg dituduh dia klarifikasi,bukan bela salsa tpi cemburu orng selingkuhanya dia haha btw dosma kamu udah siap ya kencan dirumah,masak kaya buat rewangan kamu jga yg nyiapin bahannya,trus jngn lupa ngasuh ponakah😭",['Denigration'],Yes,"['selingkuh', 'dari', 'april', 'salsa', 'yang', 'tuduh', 'dia', 'klarifikasi', 'bukan', 'bela', 'salsa', 'tapi', 'cemburu', 'orang', 'selingkuh', 'dia', 'haha', 'omong', 'dosma', 'salut', 'sudah', 'siap', 'iya', 'kencan', 'di', 'rumah', 'masak', 'seperti', 'buat', 'rewang', 'salut', 'juga', 'yang', 'siap', 'bahan', 'terus', 'jangan', 'lupa', 'asuh', 'ponakan']"
hanum_yaya,"naudzubillah, kelewatan lu bg",['Flaming'],Yes,"['naudzubillah', 'lewat', 'kamu', 'bang']"
deri666t,"Amit amit,sok paling tenar🤣",['Flaming'],Yes,"['amit', 'amit', 'sok', 'paling', 'kenal']"
delfijayani,emang bole setipis itu?😭,['Body Shaming'],Yes,"['memang', 'boleh', 'setip', 'itu']"
mayaqbtyh__,Bukkkk ni anak nya minta di bungkusss,['Harassment'],Yes,"['bukk', 'ini', 'anak', 'nya', 'minta', 'di', 'bungkuss']"
ownsibiw_69,Kok. Komenny d batesin dihh ahh knp kauu .. Trllu. Sombong sih,['Flaming'],Yes,"['kok', 'komentar', 'ada', 'batas', 'dih', 'ah', 'kenapa', 'kamu', 'terlalu', 'sombong', 'sih']"
afif_fahroel,"Ksni krena fyp di t*k2 aku, serius aku juga nggk kenal lu bang , mlh kenalnya dgn kata2 songongnya😅.",['Flaming'],Yes,"['kesini', 'karena', 'fyp', 'di', 'tak', 'aku', 'serius', 'aku', 'juga', 'tidak', 'kenal', 'kamu', 'bang', 'malah', 'kenal', 'dengan', 'kata', 'songong']"
jeonclaudy,Penasaran kalo ngupil segede apa upilnya😭,['Body Shaming'],Yes,"['penasaran', 'jika', 'upil', 'gede', 'apa', 'upil']"
putraramadhanil,"Baru gini doank, sombong nya dah kaya legenda musik dunia 😭",['Flaming'],Yes,"['baru', 'begini', 'doang', 'sombong', 'nya', 'deh', 'seperti', 'legenda', 'musik', 'dunia']"
dendita,Pantesaann dukung .............. . Jadi itu ya alasannya 😂,['Denigration'],Yes,"['pantesan', 'dukung', 'jadi', 'itu', 'iya', 'alas']"
hendrads.syadianidito,Lu mempermalukan umat muslim lu klo mau jadi cewe jngn keterlaluan dah masa pengajihan ceramah malah pake cadar punya otak ga sih lu klo mau jdi cewe jngn ikut ceramah yg lu berpakain sperti wanita,['Flaming'],Yes,"['kamu', 'malu', 'umat', 'muslim', 'kamu', 'kalo', 'mau', 'jadi', 'cewek', 'jangan', 'terlalu', 'deh', 'waktu', 'aji', 'ceramah', 'lebih', 'tepat', 'pakai', 'cadar', 'punya', 'otak', 'tidak', 'sih', 'kamu', 'kalo', 'mau', 'jadi', 'cewek', 'jangan', 'ikut', 'ceramah', 'yang', 'kamu', 'pakai', 'seperti', 'wanita']"
yogiaryudaa,Halah sombong banget gue ga akan mau dengerin lagunya walaupun nanti lagunya lwt langsung ku skip 🤣,"['Flaming', 'Harassment']",Yes,"['halah', 'sombong', 'sangat', 'aku', 'tidak', 'akan', 'mau', 'dengar', 'lagu', 'walaupun', 'nanti', 'lagu', 'lewat', 'langsung', 'ku', 'lewat']"
sonny_hardani,Diihhh amit amit jabang bayik pnas kuping gue dngr lagu lo,"['Flaming', 'Harassment']",Yes,"['diihh', 'amit', 'amit', 'jabang', 'bayi', 'panas', 'telinga', 'aku', 'dengar', 'lagu', 'kamu']"
bg.nugroho06,"Masalah politik kok bisa ke personal, sdm sdm",['Denigration'],Yes,"['masalah', 'politik', 'kok', 'bisa', 'ke', 'pribadi', 'sumber', 'daya', 'manusia', 'sumber', 'daya', 'manusia']"
airadevi.me,Ga cocokkk sorry to ssay . Bentuk kepala ni mrip tina toon bulet jd lbih kliatan pas kalo chubby . Kalo kurus otomatis pala ga ttep bulet jd aneh diliaat,['Body Shaming'],Yes,"['tidak', 'cocok', 'maaf', 'tapi', 'say', 'bentuk', 'kepala', 'ini', 'mirip', 'tina', 'toon', 'bulat', 'jadi', 'lebih', 'lihat', 'pas', 'jika', 'tembam', 'jika', 'kurus', 'otomatis', 'kepala', 'tidak', 'tetap', 'bulat', 'jadi', 'aneh', 'lihat']"
riskikians,"Sekelas musisi terkenal aja gak kaya gini kelakuannya bang, masa lo musisi baru dan baru 1 lagu yang terkenal aja kelakuan lo udah kaya gitu, lo udah ngancurin karir lo sendiri. Soon Kalau bikin dengerin dikamar aja, biar lo aja yang tau 😂",['Harassment'],Yes,"['kelas', 'musisi', 'kenal', 'saja', 'tidak', 'seperti', 'begini', 'laku', 'bang', 'waktu', 'kamu', 'musisi', 'baru', 'dan', 'baru', 'lagu', 'yang', 'kenal', 'saja', 'laku', 'kamu', 'sudah', 'seperti', 'begitu', 'kamu', 'sudah', 'hancur', 'karir', 'kamu', 'sendiri', 'segera', 'kalau', 'buat', 'dengar', 'kamar', 'saja', 'biar', 'kamu', 'saja', 'yang', 'tahu']"
_reinaaasyifa,udh puas blm ngancurin kapal gue!!!,['Denigration'],Yes,"['sudah', 'puas', 'belum', 'hancur', 'kapal', 'aku']"
erzll.f,Menang banyak si bababss,['Denigration'],Yes,"['menang', 'banyak', 'sih', 'bastian']"
risna_valentine,REPORT IG NYA WEEE,['Harassment'],Yes,"['lapor', 'instagram', 'nya', 'weh']"
save.our_democracy,Aa kasiiaann Aa.... Pengen cuci uang tapi gak punya uaaannggg..😭😭😭😭,['Denigration'],Yes,"['aa', 'kasihan', 'aa', 'ingin', 'cuci', 'uang', 'tapi', 'tidak', 'punya', 'uaanngg']"
paradaisy,Boleh ikut politik tapi tidak seperti ini..jelek bgt politik lu.,['Flaming'],Yes,"['boleh', 'ikut', 'politik', 'tapi', 'tidak', 'seperti', 'ini', 'jelek', 'sangat', 'politik', 'kamu']"
defannys,Hai cantik 🔥 tp sayang suka ngerebut,['Denigration'],Yes,"['hai', 'cantik', 'tapi', 'sayang', 'suka', 'rebut']"
theresia_floantang,"Kritik boleh, tolol jangan🙏",['Flaming'],Yes,"['kritik', 'boleh', 'tolol', 'jangan']"
evepradikta,Bang cuma mau kasi tau dilangit masi ada langit🙏,['Harassment'],Yes,"['bang', 'hanya', 'mau', 'kasih', 'tahu', 'langit', 'masih', 'ada', 'langit']"
mitamaharani13,Kayaknya cantikan yg dulu deh.. ini kayak aneh,['Body Shaming'],Yes,"['kayak', 'cantik', 'yang', 'dahulu', 'deh', 'ini', 'seperti', 'aneh']"
repenaaa,"Aura nenek"" Antagonisnya keluar bgt🙏",['Body Shaming'],Yes,"['aura', 'nenek', 'antagonis', 'keluar', 'sangat']"
metamei,Gak bakalan dengerin lagu ni orang ✌️,['Harassment'],Yes,"['tidak', 'bakal', 'dengar', 'lagu', 'ini', 'orang']"
tengah.clobber,"Banyak lagu yang lebih bagus dari lagu lu😂. Dan ane pun gk tau lu siapa, stopp jangan dengerin lagu lu lagi",['Harassment'],Yes,"['banyak', 'lagu', 'yang', 'lebih', 'bagus', 'dari', 'lagu', 'kamu', 'dan', 'saya', 'bahkan', 'tidak', 'tahu', 'kamu', 'siapa', 'henti', 'jangan', 'dengar', 'lagu', 'kamu', 'lagi']"
felicitiaa,Muka nya emg bentukan wanita tidak baik baik🙏😂,['Body Shaming'],Yes,"['wajah', 'nya', 'memang', 'bentuk', 'wanita', 'tidak', 'bagus', 'bagus']"
sylianalia,Maaf Prilly gk terlalu cocok sih klo kekurusan. Karna pala mu gede,['Body Shaming'],Yes,"['maaf', 'prilly', 'tidak', 'terlalu', 'cocok', 'sih', 'kalo', 'kurus', 'karena', 'kepala', 'mu', 'besar']"
250919.jpg,wkwk anjir rizky dpt yg kayak DOMBA😭🔥🔥🔥,['Body Shaming'],Yes,"['wkwk', 'anjir', 'rizky', 'dapat', 'yang', 'seperti', 'domba']"
angga_rprayogo,"Lebih miris mah ya teman"" nya yg ikut, knpa malah mewajarkan nya dalam pakaian yg  cadar kayak gituh malah 🔥🔥🔥🔥🔥",['Denigration'],Yes,"['lebih', 'miris', 'mah', 'iya', 'teman', 'nya', 'yang', 'ikut', 'kenapa', 'lebih', 'tepat', 'wajar', 'nya', 'dalam', 'pakai', 'yang', 'cadar', 'seperti', 'begitu', 'lebih', 'tepat']"
antonie514,"Nyari aman die, dekat sama pejabat yg berkuasa..😂😂😂",['Denigration'],Yes,"['cari', 'aman', 'mati', 'dekat', 'sama', 'jabat', 'yang', 'kuasa']"
adevadea_,"Wkwkwk, aura nya nenek2 banget jir",['Body Shaming'],Yes,"['wkwk', 'aura', 'nya', 'nenek', 'sangat', 'anjir']"
niamiramadhan,@rizkynazar20 ayooo dong cepet nikahin masa cuma di ajak dugem doang 🤭🤭,['Denigration'],Yes,"['ayo', 'dong', 'cepat', 'nikah', 'waktu', 'hanya', 'di', 'ajak', 'dugem', 'doang']"
nyimznharamdan,Bikin lagu koq pilih2 yang denger. .aneh banget kek bocil lu,['Flaming'],Yes,"['buat', 'lagu', 'kok', 'pilih', 'yang', 'dengar', 'aneh', 'sangat', 'seperti', 'bocil', 'kamu']"
sofyan8368,"Diih lagu biasa aja, sombongnya bukan main loe huweek🤢🤮🤮🤮",['Flaming'],Yes,"['dih', 'lagu', 'biasa', 'saja', 'sombong', 'tidak', 'main', 'lo', 'huwek']"
msmufallah,Sok sok an belain salsa pdhl dia pelakunya wkwwkwkwkwkkwkwkwk,['Denigration'],Yes,"['sok', 'sok', 'an', 'bela', 'salsa', 'padahal', 'dia', 'laku', 'wkwk']"
hanyasebentar_123,Kerempeng tukang rebut lagi,"['Body Shaming', 'Denigration']",Yes,"['kurus', 'tukang', 'rebut', 'lagi']"
putriragiel95,Kayak nya terlalu kurus..mungkin kalau di naikin dikit,['Body Shaming'],Yes,"['seperti', 'nya', 'terlalu', 'kurus', 'mungkin', 'kalau', 'di', 'naik', 'dikit']"
mellsukmaaa,apa tidak mau juga di ciecie sama RN ? wkwkwk biar g ngenes” amat mending spill lgsg aja😋,['Denigration'],Yes,"['apa', 'tidak', 'mau', 'juga', 'di', 'cie', 'cie', 'sama', 'rn', 'wkwk', 'biar', 'tidak', 'ngenes', 'sangat', 'lebih', 'baik', 'spill', 'langsung', 'saja']"
andikapurna.s,Salam 4jari anti prabiwi,['Denigration'],Yes,"['salam', 'jari', 'anti', 'prabowo']"
esther.kudji,"Sombong amat, baru juga 1 lagu yg gue dengerin",['Flaming'],Yes,"['sombong', 'sangat', 'baru', 'juga', 'lagu', 'yang', 'aku', 'dengar']"
puthraskyblues,caper banget gilak wkw,['Flaming'],Yes,"['cari', 'perhati', 'sangat', 'gila', 'wkwk']"
zah.wamaharani,Keluarga Iki EMG Nerima si nyengir kuda ?,['Body Shaming'],Yes,"['keluarga', 'iki', 'memang', 'terima', 'sih', 'sengir', 'kuda']"
ararahayuuu,Pliss prill lo tu cakep bangetttt mau di gmnain jga cuma kali ini gua mau comen lu kekurusan asliii tpi ttep cantik tapi kekurusan🥲🥹jdi berasa rata gt ga siiii,['Body Shaming'],Yes,"['tolong', 'prilly', 'kamu', 'itu', 'cakep', 'sangat', 'mau', 'di', 'gimana', 'juga', 'hanya', 'kali', 'ini', 'aku', 'mau', 'komen', 'kamu', 'kurus', 'asli', 'tapi', 'tetap', 'cantik', 'tapi', 'kurus', 'jadi', 'asa', 'rata', 'begitu', 'tidak', 'sih']"
ndi.tams,DENGAN BANGGANYA DIA BILANG GAK SUDI 🤣 LAWAK KALI,['Flaming'],Yes,"['dengan', 'bangga', 'dia', 'bilang', 'tidak', 'sudi', 'komedi', 'kali']"
a.didiknurmanto,Angkuh sekali kau bang,['Flaming'],Yes,"['angkuh', 'sekali', 'kamu', 'bang']"
nimoycantik,"dasar waria nekad gabung duduk di majlis taklim muslimah pake cadar biar ga ketauan kalo situ laki2...kalo gaul dgn circle pertemananmu di cafe2 bomat ye,ini nekad duduk bareng muslimah di kajian ustadz @usthananataki ,kurang ajar lo!",['Flaming'],Yes,"['dasar', 'banci', 'nekat', 'gabung', 'duduk', 'di', 'majelis', 'taklim', 'muslimah', 'pakai', 'cadar', 'biar', 'tidak', 'tau', 'jika', 'situ', 'laki', 'kalo', 'gaul', 'dengan', 'circle', 'teman', 'di', 'kafe', 'bodo', 'amat', 'ya', 'ini', 'nekat', 'duduk', 'bareng', 'muslimah', 'di', 'kaji', 'ustad', 'kurang', 'ajar', 'kamu']"
m.ilham_ridho,lagu baru viral sok sok an ga sudi bntar lagi jga ga laku lagi,['Harassment'],Yes,"['lagu', 'baru', 'viral', 'sok', 'sok', 'an', 'tidak', 'sudi', 'bentar', 'lagi', 'juga', 'tidak', 'laku', 'lagi']"
prosperobiz.my.id,Siap2 dipanggil nih boss sama aparat.....yg sabar ini ujian...,['Denigration'],Yes,"['siap', 'panggil', 'ini', 'bos', 'sama', 'aparat', 'yang', 'sabar', 'ini', 'uji']"
maldiie,Kata om Mandra : SOOOOMBONG AMAAAT,['Flaming'],Yes,"['kata', 'om', 'mandra', 'soombong', 'amat']"
uti.kullu_,Masih bagusan lagunya alm mbah surip bang😂,['Harassment'],Yes,"['masih', 'bagus', 'lagu', 'almarhum', 'mbah', 'surip', 'bang']"
khorobi,"Fi ada salam dari ICW (indonesian corrpution watch) , mudah2an rafi banyak istigfar",['Denigration'],Yes,"['di', 'ada', 'salam', 'dari', 'icw', 'indonesia', 'korupsi', 'jam', 'tangan', 'mudah', 'rafi', 'banyak', 'istighfar']"
matakupingcomm,"""Cuci2"" terus nih bro 🤣🤣🤣",['Denigration'],Yes,"['cuci', 'terus', 'ini', 'bro']"
by.mamaisa,Gw ga heran kalo cwo slingkuh ke cwe yg lbh oke dibanding pcarnya. Lahh ini??? 🤭😂😂,"['Body Shaming', 'Denigration']",Yes,"['aku', 'tidak', 'kagum', 'jika', 'cowok', 'selingkuh', 'ke', 'cewek', 'yang', 'lebih', 'oke', 'banding', 'pacar', 'lah', 'ini']"
dhinaaros,Stop dengerin lagu si klep motor,['Harassment'],Yes,"['henti', 'dengar', 'lagu', 'sih', 'club', 'motor']"
raykall94,Gak sabar pengen liat @raffinagita1717 mati membusuk di penjara 🤣🤣🤣🤣,['Denigration'],Yes,"['tidak', 'sabar', 'ingin', 'lihat', 'mati', 'busuk', 'di', 'penjara']"
_radityarahayu,Pencucian uang 😂😂😂😂 lagi Rame tuh berita jadi pok pok jadi sultan apa yahh,['Denigration'],Yes,"['cuci', 'uang', 'lagi', 'ramai', 'tuh', 'berita', 'jadi', 'pok', 'pok', 'jadi', 'sultan', 'apa', 'iya']"
mosiyoung,Ada berita Dugaan TPPU nih aa? Gmane nih 🤭hmmm,['Denigration'],Yes,"['ada', 'berita', 'duga', 'tppu', 'ini', 'aa', 'bagaimana', 'ini', 'hm']"
_fwzi10,Masih Amanlah. Lihat donk backingannya siapa .. 😁,['Denigration'],Yes,"['masih', 'aman', 'lihat', 'dong', 'dukung', 'siapa']"
yo.melsss,polisiin aja hanifa itu,['Denigration'],Yes,"['polisi', 'saja', 'hanifa', 'itu']"
